Transcript_ID,Gene_ID
mRNA1089,mRNA1089
mRNA1090,mRNA1090
mRNA1091,mRNA1091
mRNA1092,mRNA1092
mRNA1093,mRNA1093
mRNA1094,mRNA1094
mRNA1095,mRNA1095
mRNA1096,mRNA1096
mRNA1097,mRNA1097
mRNA1098,mRNA1098
mRNA1099,mRNA1099
mRNA1100,mRNA1100
mRNA1101,mRNA1101
mRNA1102,mRNA1102
mRNA1103,mRNA1103
mRNA1104,mRNA1104
mRNA1105,mRNA1105
mRNA1106,mRNA1106
mRNA1107,mRNA1107
mRNA1108,mRNA1108
mRNA1109,mRNA1109
mRNA1110,mRNA1110
mRNA1111,mRNA1111
mRNA1112,mRNA1112
mRNA1113,mRNA1113
mRNA1114,mRNA1114
mRNA1115,mRNA1115
mRNA1116,mRNA1116
mRNA1117,mRNA1117
mRNA1118,mRNA1118
mRNA1119,mRNA1119
mRNA1120,mRNA1120
mRNA1121,mRNA1121
mRNA1122,mRNA1122
mRNA1123,mRNA1123
mRNA1124,mRNA1124
mRNA1125,mRNA1125
mRNA1126,mRNA1126
mRNA1127,mRNA1127
mRNA1128,mRNA1128
mRNA1129,mRNA1129
mRNA1130,mRNA1130
mRNA1131,mRNA1131
mRNA1132,mRNA1132
mRNA1133,mRNA1133
mRNA1134,mRNA1134
mRNA1135,mRNA1135
mRNA1136,mRNA1136
